"chara_id","kanji","kanji_spaced","kana_spaced","conventional","translated","translated_cht"
132,"小早川紗枝","小早川 紗枝","こばやかわ さえ","Kobayakawa Sae","",""
133,"西園寺琴歌","西園寺 琴歌","さいおんじ ことか","Saionji Kotoka","",""
134,"双葉杏","双葉 杏","ふたば あんず","Futaba Anzu","",""
135,"楊菲菲","楊菲菲","やおふぇいふぇい","???","",""
136,"桃井あずき","桃井 あずき","ももい あずき","Momoi Azuki","",""
137,"涼宮星花","涼宮 星花","すずみや せいか","Suzumiya Seika","",""
138,"月宮雅","月宮 雅","つきみや みやび","Tsukimiya Miyabi","",""
139,"兵藤レナ","兵藤 レナ","ひょうどう れな","Hyodo Rena?","",""
140,"丹羽仁美","丹羽 仁美","にわ ひとみ","Niwa Hitomi","",""
141,"道明寺歌鈴","道明寺 歌鈴","どうみょうじ かりん","Domyoji Karin","",""
145,"柳清良","柳 清良","やなぎ きよら","Yanagi Kiyora","",""
147,"井村雪菜","井村 雪菜","いむら せつな","Imura Setsuna","",""
148,"日下部若葉","日下部 若葉","くさかべ わかば","Kusakabe Wakaba","",""
149,"榊原里美","榊原 里美","さかきばら さとみ","Sakakibara Satomi","",""
150,"輿水幸子","輿水 幸子","こしみず さちこ","Koshimizu Sachiko","",""
151,"安斎都","安斎 都","あんざい みやこ","Anzai Miyako","",""
152,"浅野風香","浅野 風香","あさの ふうか","Asano Fuuka","",""
153,"大西由里子","大西 由里子","おおにし ゆりこ","Oonishi Yuriko","",""
154,"安部菜々","安部 菜々","あべ なな","Abe Nana","",""
155,"工藤忍","工藤 忍","くどう しのぶ","Kudo Shinobu","",""
156,"栗原ネネ","栗原 ネネ","くりはら ねね","Kurihara Nene?","",""
157,"古賀小春","古賀 小春","こが こはる","Koga Koharu","",""
158,"クラリス","クラリス","くらりす","Kurarisu?","",""
159,"佐久間まゆ","佐久間 まゆ","さくま まゆ","Sakuma Mayu","",""
160,"村松さくら","村松 さくら","むらまつ さくら","Muramatsu Sakura","",""
161,"白菊ほたる","白菊 ほたる","しらぎく ほたる","Shiragiku Hotaru","",""
162,"早坂美玲","早坂 美玲","はやさか みれい","Hayasaka Mirei","",""
163,"有浦柑奈","有浦 柑奈","ありうら かんな","Ariura Kanna","",""
164,"乙倉悠貴","乙倉 悠貴","おとくら ゆうき","Otokura Yuki","",""
165,"原田美世","原田 美世","はらだ みよ","Harada Miyo","",""
166,"池袋晶葉","池袋 晶葉","いけぶくろ あきは","Ikebukuro Akiha","",""
167,"渋谷凛","渋谷 凛","しぶや りん","Shibuya Rin","",""
168,"黒川千秋","黒川 千秋","くろかわ ちあき","Kurokawa Chiaki","",""
169,"松本沙理奈","松本 沙理奈","まつもと さりな","Matsumoto Sarina","",""
170,"桐野アヤ","桐野 アヤ","きりの あや","Kirino Aya?","",""
171,"高橋礼子","高橋 礼子","たかはし れいこ","Takahashi Reiko","",""
172,"相川千夏","相川 千夏","あいかわ ちなつ","Aikawa Chinatsu","",""
173,"川島瑞樹","川島 瑞樹","かわしま みずき","Kawashima Mizuki","",""
174,"神谷奈緒","神谷 奈緒","かみや なお","Kamiya Nao","",""
175,"上条春菜","上条 春菜","かみじょう はるな","Kamijo Haruna","",""
176,"荒木比奈","荒木 比奈","あらき ひな","Araki Hina","",""
177,"東郷あい","東郷 あい","とうごう あい","Togo Ai","",""
178,"多田李衣菜","多田 李衣菜","ただ りいな","Tada Riina","",""
179,"水木聖來","水木 聖來","みずき せいら","Mizuki Seira","",""
180,"佐々木千枝","佐々木 千枝","ささき ちえ","Sasaki Chie","",""
181,"三船美優","三船 美優","みふね みゆ","Mifune Miyu","",""
182,"服部瞳子","服部 瞳子","はっとり とうこ","Hattori Toko","",""
183,"木場真奈美","木場 真奈美","きば まなみ","Kiba Manami","",""
184,"藤原肇","藤原 肇","ふじわら はじめ","Fujiwara Hajime","",""
185,"新田美波","新田 美波","にった みなみ","Nitta Minami","",""
186,"水野翠","水野 翠","みずの みどり","Mizuno Midori","",""
187,"古澤頼子","古澤 頼子","ふるさわ よりこ","Furusawa Yoriko","",""
188,"橘ありす","橘 ありす","たちばな ありす","Tachibana Arisu","",""
189,"鷺沢文香","鷺沢 文香","さぎさわ ふみか","Sagisawa Fumika","",""
190,"八神マキノ","八神 マキノ","やがみ まきの","Yagami Makino?","",""
191,"ライラ","ライラ","らいら","Raira?","",""
192,"浅利七海","浅利 七海","あさり ななみ","Asari Nanami","",""
193,"ヘレン","ヘレン","へれん","Heren?","",""
194,"松永涼","松永 涼","まつなが りょう","Matsunaga Ryo","",""
195,"小室千奈美","小室 千奈美","こむろ ちなみ","Komuro Chinami","",""
196,"高峯のあ","高峯 のあ","たかみね のあ","Takamine Noa","",""
197,"高垣楓","高垣 楓","たかがき かえで","Takagaki Kaede","",""
198,"神崎蘭子","神崎 蘭子","かんざき らんこ","Kanzaki Ranko","",""
199,"伊集院惠","伊集院 惠","いじゅういん めぐみ","Ijuin Megumi","",""
200,"柊志乃","柊 志乃","ひいらぎ しの","Hiiragi Shino","",""
201,"北条加蓮","北条 加蓮","ほうじょう かれん","Hojo Karen","",""
202,"ケイト","ケイト","けいと","Keito?","",""
203,"瀬名詩織","瀬名 詩織","せな しおり","Sena Shiori","",""
204,"綾瀬穂乃香","綾瀬 穂乃香","あやせ ほのか","Ayase Honoka","",""
205,"佐城雪美","佐城 雪美","さじょう ゆきみ","Sajo Yukimi","",""
210,"篠原礼","篠原 礼","しのはら れい","Shinohara Rei","",""
211,"和久井留美","和久井 留美","わくい るみ","Wakui Rumi","",""
212,"吉岡沙紀","吉岡 沙紀","よしおか さき","Yoshioka Saki","",""
213,"梅木音葉","梅木 音葉","うめき おとは","Umeki Otoha","",""
214,"白坂小梅","白坂 小梅","しらさか こうめ","Shirasaka Kome","",""
215,"岸部彩華","岸部 彩華","きしべ あやか","Kishibe Ayaka","",""
216,"氏家むつみ","氏家 むつみ","うじいえ むつみ","Ujiie Mutsumi","",""
217,"西川保奈美","西川 保奈美","にしかわ ほなみ","Nishikawa Honami","",""
218,"成宮由愛","成宮 由愛","なるみや ゆめ","Narumiya Yume","",""
219,"藤居朋","藤居 朋","ふじい とも","Fujii Tomo","",""
220,"塩見周子","塩見 周子","しおみ しゅうこ","Shiomi Syuko","",""
221,"脇山珠美","脇山 珠美","わきやま たまみ","Wakiyama Tamami","",""
222,"岡崎泰葉","岡崎 泰葉","おかざき やすは","Okazaki Yasuha","",""
223,"速水奏","速水 奏","はやみ かなで","Hayami Kanade","",""
224,"大石泉","大石 泉","おおいし いずみ","Ooishi Izumi","",""
225,"松尾千鶴","松尾 千鶴","まつお ちづる","Matsuo Chizuru","",""
226,"森久保乃々","森久保 乃々","もりくぼ のの","Morikubo Nono","",""
227,"アナスタシア","アナスタシア","あなすたしあ","Anasutashia?","",""
228,"大和亜季","大和 亜季","やまと あき","Yamato Aki","",""
229,"結城晴","結城 晴","ゆうき はる","Yuki Haru","",""
230,"二宮飛鳥","二宮 飛鳥","にのみや あすか","Ninomiya Asuka","",""
231,"桐生つかさ","桐生 つかさ","きりゅう つかさ","Kiryu Tsukasa","",""
232,"望月聖","望月 聖","もちづき ひじり","Mochizuki Hijiri","",""
233,"鷹富士茄子","鷹 富士茄子","たか ふじかこ","Taka Fujikako","",""
234,"本田未央","本田 未央","ほんだ みお","Honda Mio","",""
235,"高森藍子","高森 藍子","たかもり あいこ","Takamori Aiko","",""
236,"並木芽衣子","並木 芽衣子","なみき めいこ","Namiki Meiko","",""
237,"龍崎薫","龍崎 薫","りゅうざき かおる","Ryuzaki Kaoru","",""
238,"木村夏樹","木村 夏樹","きむら なつき","Kimura Natsuki","",""
239,"松山久美子","松山 久美子","まつやま くみこ","Matsuyama Kumiko","",""
240,"斉藤洋子","斉藤 洋子","さいとう ようこ","Saito Yoko","",""
241,"沢田麻理菜","沢田 麻理菜","さわだ まりな","Sawada Marina","",""
242,"矢口美羽","矢口 美羽","やぐち みう","Yaguchi Miu","",""
243,"赤城みりあ","赤城 みりあ","あかぎ みりあ","Akagi Miria","",""
244,"愛野渚","愛野 渚","あいの なぎさ","Aino Nagisa","",""
245,"真鍋いつき","真鍋 いつき","まなべ いつき","Manabe Itsuki","",""
246,"大槻唯","大槻 唯","おおつき ゆい","Ootsuki Yui","",""
247,"姫川友紀","姫川 友紀","ひめかわ ゆき","Himekawa Yuki","",""
248,"トレーナー","トレーナー","とれーなー","Toreenaa?","",""
249,"喜多見柚","喜多見 柚","きたみ ゆず","Kitami Yuzu","",""
250,"上田鈴帆","上田 鈴帆","うえだ すずほ","Ueda Suzuho","",""
251,"海老原菜帆","海老原 菜帆","えびはら なほ","Ebihara Naho","",""
252,"ルーキートレーナー","ルーキートレーナー","るーきーとれーなー","Ruukiitoreenaa?","",""
253,"及川雫","及川 雫","おいかわ しずく","Oikawa Shizuku","",""
254,"小関麗奈","小関 麗奈","こせき れいな","Koseki Reina","",""
255,"衛藤美紗希","衛藤 美紗希","えとう みさき","Eto Misaki","",""
256,"星輝子","星 輝子","ほし しょうこ","Hoshi Syoko","",""
257,"片桐早苗","片桐 早苗","かたぎり さなえ","Katagiri Sanae","",""
258,"堀裕子","堀 裕子","ほり ゆうこ","Hori Yuko","",""
259,"西島櫂","西島 櫂","にしじま かい","Nishijima Kai","",""
260,"的場梨沙","的場 梨沙","まとば りさ","Matoba Risa","",""
261,"財前時子","財前 時子","ざいぜん ときこ","Zaizen Tokiko","",""
262,"依田芳乃","依田 芳乃","よりた よしの","Yorita Yoshino","",""
263,"相葉夕美","相葉 夕美","あいば ゆみ","Aiba Yumi","",""
264,"野々村そら","野々村 そら","ののむら そら","Nonomura Sora","",""
265,"浜川愛結奈","浜川 愛結奈","はまかわ あゆな","Hamakawa Ayuna","",""
266,"若林智香","若林 智香","わかばやし ともか","Wakabayashi Tomoka","",""
267,"城ヶ崎美嘉","城ヶ崎 美嘉","じょうがさき みか","Jogasaki Mika","",""
268,"城ヶ崎莉嘉","城ヶ崎 莉嘉","じょうがさき りか","Jogasaki Rika","",""
269,"仙崎恵磨","仙崎 恵磨","せんざき えま","Senzaki Ema","",""
270,"日野茜","日野 茜","ひの あかね","Hino Akane","",""
271,"諸星きらり","諸星 きらり","もろぼし きらり","Moroboshi Kirari","",""
272,"十時愛梨","十時 愛梨","ととき あいり","Totoki Airi","",""
273,"ナターリア","ナターリア","なたーりあ","Nataaria?","",""
274,"相馬夏美","相馬 夏美","そうま なつみ","Soma Natsumi","",""
275,"槙原志保","槙原 志保","まきはら しほ","Makihara Shiho","",""
280,"向井拓海","向井 拓海","むかい たくみ","Mukai Takumi","",""
282,"ベテラントレーナー","ベテラントレーナー","べてらんとれーなー","Beterantoreenaa?","",""
283,"市原仁奈","市原 仁奈","いちはら にな","Ichihara Nina","",""
284,"喜多日菜子","喜多 日菜子","きた ひなこ","Kita Hinako","",""
285,"杉坂海","杉坂 海","すぎさか うみ","Sugisaka Umi","",""
286,"北川真尋","北川 真尋","きたがわ まひろ","Kitagawa Mahiro","",""
287,"メアリー・コクラン","メアリー・コクラン","めありー・こくらん","????","",""
288,"小松伊吹","小松 伊吹","こまつ いぶき","Komatsu Ibuki","",""
289,"三好紗南","三好 紗南","みよし さな","Miyoshi Sana","",""
290,"キャシー・グラハム","キャシー・グラハム","きゃしー・ぐらはむ","????","",""
291,"難波笑美","難波 笑美","なんば えみ","Nanba Emi","",""
292,"浜口あやめ","浜口 あやめ","はまぐち あやめ","Hamaguchi Ayame","",""
293,"村上巴","村上 巴","むらかみ ともえ","Murakami Tomoe","",""
294,"土屋亜子","土屋 亜子","つちや あこ","Tsuchiya Ako","",""
295,"首藤葵","首藤 葵","しゅとう あおい","Syuto Aoi","",""
296,"冴島清美","冴島 清美","さえじま きよみ","Saejima Kiyomi","",""
297,"佐藤心","佐藤 心","さとう しん","Sato Shin","",""
298,"南条光","南条 光","なんじょう ひかる","Nanjo Hikaru","",""
299,"マスタートレーナー","マスタートレーナー","ますたーとれーなー","Masutaatoreenaa?","",""
300,"イヴ・サンタクロース","イヴ・サンタクロース","いうﾞ・さんたくろーす","????","",""
999,"エトセトラ","エトセトラ","エトセトラ","????","",""
